domain,category,original_index,title,year,venue,task,method,signals,note,impact,status,resolved_title,resolved_year,doi,oa_pdf_url,source,local_pdf,error
DOM,B. Cloth / Garment：布料与衣物（22 篇）,18,UniGarmentManip: A Unified Framework for Category-Level Garment Manipulation via Dense Visual Correspondence,2024,CVPR,"garment / cloth
unfolding、folding、hanging",Self-supervised category-level dense correspondence + one/few-shot adaptation,Point cloud / visual correspondence,近年 garment generalization 代表作：统一 representation 支持多类衣物、多任务、未见实例。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,19,"UniFolding: Towards Sample-efficient, Scalable, and Generalizable Robotic Garment Folding",2023,CoRL,"garment
unfolding + folding",UFONet + imitation/human-in-the-loop learning,Partial point cloud,样本效率、不同衣物材质/纹理/形状泛化；是近年 garment folding 必读。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,20,GarmentLab: A Unified Simulation and Benchmark for Garment Manipulation,2024,NeurIPS,"garment
多任务 benchmark：fold / hang / organize 等",Simulation benchmark + RL/IL/vision baselines,RGB-D / state / simulator,不是单一算法论文，而是系统理解 garment manipulation task space 与 benchmark 的入口。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,21,Self-Supervised Visuo-Tactile Pretraining to Locate and Follow Garment Features,2023,RSS,"garment / cloth
feature search、edge following、contact localization",Self-supervised visuo-tactile contrastive pretraining,RGB + tactile image,少数真正把触觉作为核心的 garment learning 代表作；覆盖 perception 到 closed-loop following。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,22,Self-supervised Cloth Reconstruction via Action-conditioned Cloth Tracking,2023,ICRA,"cloth
状态重建、后续操作",Action-conditioned tracking + self-supervised reconstruction,RGB-D / robot action,用机器人动作产生的时序信息学习 cloth state，而不是纯静态视觉 reconstruction。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,23,One Policy to Dress Them All: Learning to Dress People with Diverse Poses and Garments,2023,RSS,"garment + human body
robot-assisted dressing",RL policy with domain randomization / generalization,Partial point cloud,3D cloth-human interaction中的代表性 learning work；同时泛化 garment 与人体 pose。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,24,FlingBot: The Unreasonable Effectiveness of Dynamic Manipulation for Cloth Unfolding,2021,CoRL（PMLR 2022）,"cloth
dynamic unfolding / fling",Self-supervised visual policy + dynamic action primitive,RGB-D / cloth coverage,虽略早，但引用和影响力很高；把 dynamic manipulation 变成 cloth unfolding 主流基线之一。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,25,DextAIRity: Deformable Manipulation Can be a Breeze,2022,RSS,"cloth + bag-like deformables
unfold/open with active airflow",Self-supervised / learned action selection with active airflow,Vision + airflow action,用非接触空气流操控 deformables，扩展了“robot action”定义；适合寻找非传统 manipulation primitive。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,26,Efficiently Learning Single-Arm Fling Motions to Smooth Garments,2022,ISRR,"garment
single-arm dynamic smoothing / fling",Bandit / black-box optimization for rapid adaptation,Vision + motion parameters,研究不同 garment 对 dynamic fling 参数的快速适应；方法简单但对 dynamic DOM 很有启发。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,27,ClothPose: A Real-world Benchmark for Visual Analysis of Garment Pose via an Indirect Recording Solution,2023,ICCV Oral,"garment
pose/state estimation benchmark",Learning-based visual pose analysis / dataset,RGB / 3D pose annotations,偏 perception，但对 DOM 状态表示、数据采集和真实衣物姿态 benchmark 很重要。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,28,GarmentTracking: Category-Level Garment Pose Tracking,2023,CVPR,"garment
deformation-aware pose tracking",Learning category-level pose/shape tracking,Point cloud / 3D geometry,研究操作过程中持续跟踪变形 garment，而非只做 initial perception。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,29,General-Purpose Clothes Manipulation with Semantic Keypoints (CLASP),2025,ICRA,"garment
flatten / fold / hang / place 等多任务",Semantic keypoints + vision-language reasoning / hierarchical planning,Vision + semantic keypoints + language,从 task-specific garment policy 走向 semantic/general-purpose clothes manipulation 的新代表。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,30,Mesh-based Dynamics with Occlusion Reasoning for Cloth Manipulation,2022,RSS,"cloth
flattening + canonicalization under self-occlusion",Full-mesh reconstruction + self-supervised test-time refinement + mesh dynamics planning,RGB-D / reconstructed cloth mesh,明确处理“被遮挡的布料状态”；把 state reconstruction 与 dynamics/planning 连起来。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,31,FabricFlowNet: Bimanual Cloth Manipulation with a Flow-based Policy,2022,CoRL proceedings,"cloth
goal-conditioned bimanual / single-arm rearrangement",Optical-flow representation used as both policy input and action representation,Current/goal images + optical flow,用 flow 同时表达“目标差异”和“动作”，是图像端到端 cloth policy 的重要代表。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,32,Learning Visible Connectivity Dynamics for Cloth Smoothing,2022,CoRL proceedings,"cloth
smoothing / flattening",Partial point-cloud particle dynamics + inferred visible connectivity graph,Partial point cloud + robot action,针对 partial observability 学习可见连接关系；zero-shot sim-to-real 到不同材质、几何和颜色布料。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,33,Learning to Fold Real Garments with One Arm: A Case Study in Cloud-Based Robotics Research,2022,IROS,"T-shirt / real garment
single-arm folding",Benchmark of four learned algorithms; imitation learning + analytic manipulation,Real robot images + demonstrations,大规模真实硬件 benchmark 风格工作；IL+解析策略达到约 84% human-level folding performance。,"高影响
实机",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,34,SpeedFolding: Learning Efficient Bimanual Folding of Garments,2022,IROS,"garments
crumpled → smooth → folded",BiMama-Net predicts bimanual gripper poses for multiple action primitives,Images + learned/self-supervised action data,IROS 2022 Best Paper；93% reported folding success，且对未见颜色/形状/刚度衣物泛化。,"高引用
获奖",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,35,Learning Visual Feedback Control for Dynamic Cloth Folding,2022,IROS,"fabric
dynamic single-arm folding",Simulation RL + visual feedback + material randomization for direct sim-to-real,Vision + robot state,动态布料动作中的闭环视觉 RL；强调跨 fabric material 的 domain randomization。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,36,Learning Keypoints for Robotic Cloth Manipulation Using Synthetic Data,2024,IEEE RA-L,"T-shirts / towels / shorts
keypoint detection for folding",Procedural synthetic data + learned keypoint detector + real fine-tuning,Synthetic / real RGB images,直接量化 synthetic-to-real gap；适合理解 garment perception 的数据生成与泛化问题。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,37,Diffusion Dynamics Models with Generative State Estimation for Cloth Manipulation,2025,CoRL,"cloth
full-state reconstruction + future prediction + folding",Transformer diffusion for state estimation and action-conditioned dynamics + MPC,Sparse RGB-D + canonical mesh + actions,生成式模型进入 cloth world model：长时预测误差明显优于局部 GNN，并完成真实折叠。,"前沿
高影响",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,38,Learning Efficient Robotic Garment Manipulation with Standardization,2025,ICML,"garment
unfolding + canonical standardization + downstream folding",Dual-arm multi-primitive policy + dynamic fling + factorized reward,Visual state + action masks,不只追求 coverage，而要求衣物达到标准位置/姿态；把 unfolding 与 downstream usability 连接起来。,"前沿
顶会",PENDING_OA_LOOKUP,,,,,,,
DOM,B. Cloth / Garment：布料与衣物（22 篇）,39,Visuotactile Affordances for Cloth Manipulation with Local Control,2023,CoRL proceedings,"cloth
edge grasping + sliding to corner",Visuotactile edge affordance learning + tactile pose estimation/control,Vision + GelSight-style tactile,代表“局部触觉解决视觉不可见/自遮挡问题”：抓边后沿边滑到角点。,"高影响
多模态",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,40,HANDLOOM: Learned Tracing of One-Dimensional Objects for Inspection and Manipulation,2023,CoRL,"rope / cable / DLO
tracing、crossing reasoning、inspection / untangling",Learned tracing and crossing classification,RGB / cable geometry,DLO topology/perception 代表作；强调“沿线追踪”与 crossing，而不仅是整体形状控制。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,41,SGTM 2.0: Autonomously Untangling Long Cables Using Interactive Perception,2023,ICRA,"long cable
untangling、regrasp、interactive perception",Learning/perception-driven manipulation with uncertainty handling,RGB-D / cable state,长 cable untangling 的代表性系统；强调主动交互纠正视觉不确定性。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,42,Autonomously Untangling Long Cables,2022,RSS · Best Systems Paper,"long cable
untangling / knot reduction",Perception + learned/engineered manipulation primitives,RGB-D,高影响 DLO 系统基线；复杂缠绕、长线缆与真实机器人验证。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,43,Multi-Stage Cable Routing through Hierarchical Imitation Learning,2024,IEEE T-RO,"cable
multi-clip routing、失败重试/恢复",Hierarchical imitation learning: low-level policies + high-level sequencing,Vision,非常好的 long-horizon DLO learning 示例；上层策略处理重试和 corrective action。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,44,Learning for Deformable Linear Object Insertion Leveraging Flexibility Estimation from Visual Cues,2024,ICRA,"wire / rubber / rope
DLO insertion",Flexibility estimator + flexibility-conditioned RL policy,Visual configurations + interaction,直接把材料 flexibility 估计与 insertion policy 连接；研究 material variation 对泛化的影响。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,45,DexDLO: Learning Goal-Conditioned Dexterous Policy for Dynamic Manipulation of Deformable Linear Objects,2024,ICRA,"DLO + dexterous hand
dynamic goal-conditioned repositioning",Deep RL / goal-conditioned dexterous policy,DLO keypoints + hand state,把 DLO 从 gripper 操作扩展到 dexterous hand；展示同一框架覆盖多种动态 DLO 任务。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,46,Routing Manipulation of Deformable Linear Object Using Reinforcement Learning and Diffusion Policy,2025,ICRA,"rope / DLO
insertion + pulling / routing in rough contact",RL experts + diffusion policy,Robot/DLO state + contact-rich environment,面向未知摩擦和粗糙表面的 contact-rich DLO routing；兼顾避免高 tension 与环境扰动鲁棒性。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,47,Visual–Tactile Learning of Robotic Cable-in-Duct Installation Skills,2025,Automation in Construction,"cable / fish tape
multi-stage cable-in-duct installation",Sim2Real RL + tactile UDA (FSTR-Net),Vision + tactile,少见的 tactile-driven industrial DLO learning；真实接触安装任务，且强调 Sim2Real。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,48,Sequential Manipulation of Deformable Linear Object Networks with Endpoint Pose Measurements using Adaptive Model Predictive Control,2024,ICRA,"automotive wire-harness network
installation / large deformation",NN-learned input-output dynamics + online residual + adaptive MPC,Endpoint pose measurements,工业 wire harness 的 data-driven model + MPC 路线；不是纯 deep policy，但非常适合看工业 DLO 的真实约束。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,49,Cable Manipulation with a Tactile-Reactive Gripper,2021,IJRR,"cable
sliding / following / tactile-reactive manipulation",Learned cable-sliding model + tactile feedback controller,High-resolution tactile + gripper state,该分支高引用经典：证明触觉可以让机器人快速沿 cable 操作，并形成后续 tactile-DLO 研究基线。,"高引用
经典",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,50,Shape Control of Deformable Linear Objects with Offline and Online Learning of Local Linear Deformation Models,2022,ICRA,"rope / cable / elastic rod
shape servoing",Neural local linear deformation model: offline pretraining + online adaptive update,DLO feature points + robot motion,兼顾离线学习精度与新 DLO 在线适应；是 data-driven shape control 的重要路线。,"高引用
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,51,Feel the Tension: Manipulation of Deformable Linear Objects in Environments with Fixtures using Force Information,2022,IROS,"cable / wire harness
sliding、clipping、winding around fixtures",Reduced DLO model + online estimation + force-guided primitives,6-axis F/T + gripper state; little/no vision,突出 tension / force 作为 DLO perception；在真实 wire-harness production task 中验证。,"高影响
力觉",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,52,Robotic Cable Routing with Spatial Representation,2022,IEEE RA-L,"cable
routing around fixtures / through channels",Spatial representation + high-level path planning + manipulation primitives,Vision-based cable segmentation / spatial graph,高引用 cable routing 工作；核心贡献是把 cable–fixture 空间关系结构化，支持多阶段规划。,"高引用
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,53,Global Model Learning for Large Deformation Control of Elastic Deformable Linear Objects: An Efficient and Adaptive Approach,2023,IEEE T-RO,"elastic DLO
large-deformation 2D/3D dual-arm shape control",Global neural deformation model + offline learning + online adaptation + convex control,DLO feature state + robot actions,高引用 T-RO 工作；用仿真离线数据学习，再在线适应未见 DLO，并覆盖大变形控制。,"高引用
T-RO",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,54,Learning-Based Cable Coupling Effect Modeling for Robotic Manipulation of Heavy Industrial Cables,2022,Scientific Reports,"heavy industrial cable
high-precision positioning / insertion",CNN/residual learning of cable-induced force/torque + robust controller,Robot/cable features → coupling F/T,少见的“重型刚柔耦合 cable”研究；学习 cable payload effect，直接面向高精工业操作。,"高引用
工业",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,55,Revolutionizing Robotized Assembly for Wire Harness: A 3D Vision-Based Method for Multiple Wire-Branch Detection,2024,Journal of Manufacturing Systems,"multi-branch wire harness
branch detection for assembly",3D vision + learning-based wire-branch detection,3D point cloud / vision,工业 wire harness 的关键 perception：从单根 cable 扩展到多分支 harness；2024 工作已出现较明显引用。,"近期
工业",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,56,A Dual-Arm Robotic System for Automated Multi-Branch Wire Harness Assembly in Automotive Industry,2025,Journal of Manufacturing Systems,"multi-branch wire harness
automotive assembly",Vision-guided dual-arm manipulation + anti-entanglement planning + task-level programming,Vision / cable branch state,不是纯 end-to-end learning，但代表 DLO 真正进入多分支、双臂、工业 long-horizon assembly。,"前沿
工业系统",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,57,Precise Robotic Needle-Threading with Tactile Perception and Reinforcement Learning,2023,CoRL,"thread / needle
tail finding + threading / insertion",Tactile tracing + tactile-guided reinforcement learning,High-resolution tactile + robot state,把极细 DLO 的“追踪 + 插入”联成完整技能，是 tactile DLO 精细操作代表作。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,58,Learning Physics-Aware Sensorimotor Model With Visual–Tactile Sensing for DLO Manipulation,2026,IEEE/ASME T-Mech (early access),"unseen cables / wires / hoses
shape servoing",Simulation-trained global deformation model conditioned on online physics embeddings,Vision + tactile + proprioception,最新物理感知 DLO learning：从交互中估计 physics embedding，再调节 deformation model 适配未见 DLO。,"前沿
多模态",PENDING_OA_LOOKUP,,,,,,,
DOM,C. Rope / Cable / DLO：线状可变形物（20 篇）,59,Learning to Estimate 3-D States of Deformable Linear Objects from Single-Frame Occluded Point Clouds,2023,ICRA,"DLO
3D state estimation under occlusion",Learning-based full-state reconstruction from partial/occluded point clouds,Single-frame point cloud,直接针对 DLO partial observability；补齐“操作策略之前的 3D 状态估计”这一基础环节。,"高影响
感知",PENDING_OA_LOOKUP,,,,,,,
DOM,D. Bag / Flexible Container：袋与柔性容器（6 篇）,60,AutoBag: Learning to Open Plastic Bags and Insert Objects,2023,ICRA,"plastic bag / flexible container
bag opening + object insertion",Self-supervised perception learning + bimanual manipulation,Vision,bag manipulation 中引用/影响较高的代表作；从 crumpled bag 到 opening 再到 insertion。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,D. Bag / Flexible Container：袋与柔性容器（6 篇）,61,Bagging by Learning to Singulate Layers Using Interactive Perception,2023,IROS,"plastic bag
layer singulation + bagging",Interactive perception + learned visual decision,Vision + physical interaction,核心不是一次识别 bag opening，而是通过交互分离层；典型 active/interactive perception。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,D. Bag / Flexible Container：袋与柔性容器（6 篇）,62,Iterative Interactive Modeling for Knotting Plastic Bags,2023,CoRL proceedings,"plastic bag
bag knotting",Graph/skeleton representation + imitation / iterative interaction,Vision / bag skeleton,展示 flexible container 的 topology-changing long-horizon task：打结，而非只开袋。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,D. Bag / Flexible Container：袋与柔性容器（6 篇）,63,Dynamic Manipulation of Deformable Objects using Imitation Learning with Adaptation to Hardware Constraints,2024,IROS,"bag / flexible container
dynamic bag opening",Imitation learning + constrained DMP + robot-limit adaptation,Human demonstration + robot motion,把动态示范转换为满足硬件速度/加速度限制的机器人运动；BILBO bag-opening 系统。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,D. Bag / Flexible Container：袋与柔性容器（6 篇）,64,Learning to Bag with a Simulation-Free Reinforcement Learning Framework for Robots,2024,IET Cyber-Systems and Robotics,"bags
bagging / grasp-point selection",Real-world reinforcement learning with compact states and manipulation primitives,Bag state representation + real robot interaction,约 3 小时真实训练，无仿真；并测试多种尺寸袋子，是 data-efficient real-world bag RL 的代表。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,D. Bag / Flexible Container：袋与柔性容器（6 篇）,65,Vision-Based Manipulation of Transparent Plastic Bags in Industrial Setups,2025,Frontiers in Robotics and AI,"transparent plastic bags
detection、grasping、cutting / unpacking",CNN detection + tracking/depth + compliant vacuum manipulation,RGB / depth + compliance,透明袋对视觉非常困难；这篇把 ML perception 与真实工业 unpacking/cutting 系统结合。,"前沿
工业",PENDING_OA_LOOKUP,,,,,,,
DOM,E. 3D Soft / Elasto-Plastic：体积软体与塑性材料（11 篇）,66,"RoboCraft: Learning to See, Simulate, and Shape Elasto-Plastic Objects in 3D with Graph Networks",2024,IJRR,"clay / elasto-plastic material
3D shaping",Point-cloud perception + GNN dynamics + planning,3D point cloud,近年 elasto-plastic DOM 核心代表作；把 see–simulate–plan–shape 串成完整闭环。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
